SiteName,SiteModule,Street,ZIP,City,Country,PSTNNumber,SIMNumber,PBXNumber,SIPNumber,ExternalLink,EquipmentID,Identity,Module,Pin,DeviceType,DeviceModule,MACAddress,IMEI,FirmwareVersion,DeviceStatus
Building A - Elevator 1,2N,Bahnhofstrasse 1,8001,Zurich,CH,+41443334455,,,,,EQ-00001,100,1,1234,telealarm,2N Lift1,,,,Enabled
,2N,Rue du Rhone 45,1200,Geneve,CH,,+41765432109,,,https://example.com,EQ-00002,200,2,5678,gateway,2N EasyGate PRO,a1b2c3d4e5f6,359123456789010,2.0.1,Enabled
,Leitronic,Freie Strasse 12,4051,Basel,CH,+41612223344,,,,,EQ-00003,300,3,9012,telealarm,Leitronic EasyAlarm,,,1.5.0,Disabled
Office Building,Microkey,Bundesplatz 3,3011,Bern,CH,,,+41313334455,,https://example.com/site4,EQ-00004,400,4,3456,intercom,Microkey Mk891,,,2.1.0,Enabled
Security Monitoring,Telia,Avenue de la Gare 22,1003,Lausanne,CH,,,,,sip:monitor@pbx.local,EQ-00005,500,5,7890,monitor,Variotech AWM Liftsafe,,,1.0.5,Enabled
,2N,Pilatusstrasse 14,6003,Luzern,CH,,+41415556677,,,,,EQ-00006,600,6,2345,telealarm,2N Lift1,,,,Enabled
Parking Garage,Leitronic,Multergasse 8,9000,St. Gallen,CH,+41712223344,,,,,EQ-00007,700,7,6789,gateway,Leitronic Gateway,1a2b3c4d5e6f,359987654321016,3.2.1,Enabled
,Telenot,Via Nassa 56,6900,Lugano,CH,,,+41919998877,,,EQ-00008,800,8,1357,intercom,Telenot comline 2901AN,,,1.8.2,Enabled
,Telia,Stadthausstrasse 6,8400,Winterthur,CH,,+41523334455,,,,,EQ-00009,900,9,2468,telealarm,Telia EC II Flex Duo,,,2.5.0,Enabled
Hotel Lobby,2N,Balliz 1,3600,Thun,CH,+41332223344,,,,,EQ-00010,1000,10,9876,gateway,2N EasyGate PRO,fedcba987654,359246813579020,1.9.3,Enabled
